temp_2013,temp_2014,temp_2015,irrad_2013,irrad_2014,irrad_2015
59.7,52.2,58.6,773,535,887
58.7,49.8,61.6,482,535,1082
54.6,48.5,65.2,411,472,1061
51.7,47.3,66,382,477,1012
49.7,47.3,66.4,411,498,1102
49.7,46.5,66.9,520,540,967
51,48.3,65.6,575,490,918
51.9,48.5,64.8,505,516,968
51.1,48.7,65.2,415,490,913
49.9,48.7,67.4,363,456,1225
48.9,46.6,69.1,324,540,776
47.5,47.6,62.6,355,541,548
47.7,48.2,59.5,423,646,667
48.3,50.4,58.1,461,742,664
48.6,54.1,58.2,422,1014,853
48.7,57.8,59.5,426,1042,712
49.6,60.1,60.1,544,1025,959
51.2,60.7,62.2,530,987,990
52.1,60.7,62.6,553,441,754
52.4,52.4,60.7,551,245,679
51.1,46.5,58.7,384,291,576
50,43.2,56.5,429,277,585
48.8,39.3,55.3,376,262,599
47.4,34.3,55.1,309,380,577
47.2,34.1,55,374,524,577
47.4,34,54.3,374,305,483
47.6,34,52.5,407,305,484
47.9,36.4,51.7,402,266,495
47.9,37.1,51.5,347,282,536
47.3,37.8,52.2,368,308,637
46.6,38.6,55,343,336,793
46.2,40.3,59.4,317,604,854
45.4,45.6,60.4,245,756,852
43.7,49.9,61.7,277,742,867
43.4,52.5,62.3,374,798,792
44,53.7,61,318,770,772
43.5,54.7,58.9,272,760,680
42.9,54.2,58.3,275,751,815
42.8,54.3,59.5,292,731,800
43.1,54,59.4,317,682,568
43.3,53.9,55.8,332,627,469
43.2,53.8,51.5,349,761,446
43.8,53.6,48.3,410,689,323
44.9,51.9,48.3,454,497,394
45.8,46.6,45.6,402,303,338
45.1,42.5,45.6,336,347,304
44.5,40.9,43.4,299,214,273
43.4,38,41.5,291,69,182
42.7,35.6,39.4,293,70,140
42.2,33.8,37.2,306,28,69
42.4,31.9,37.2,304,30,63
42.1,31.9,33.5,284,56,27
41.3,30,31.3,271,52,12
41.1,29.6,29.5,297,40,12
42,29,27.9,315,38,13
42.4,29,27.1,300,38,17
42.3,27.3,26.6,237,31,14
41.2,27.3,25.6,223,26,9
40.6,26.6,25.4,183,24,8
39.3,26.6,25.4,152,23,11
38,26.4,25.5,136,22,14
37.1,26.4,25.3,121,21,19
36.3,26.4,24.9,105,20,16
35.8,26.4,24.9,99,19,15
35.3,26.2,25.1,86,18,20
